query,engine,region,rank_observed,competitor_url,domain,page_type,rating_reviews_in_snippet,phone_in_snippet,savage_present,snapshot_date,notes
заказать рекламный ролик спб,Yandex,SPb (lr=2),specialists block,,Тунгулуков И.Н.,Profi.ru,"5,0 (24)",,no,2026-09-08,
заказать рекламный ролик спб,Yandex,SPb (lr=2),1,https://brandvideo.ru/наши-работы,brandvideo.ru,portfolio,"5,0 (11)",,no,2026-09-08,
заказать рекламный ролик спб,Yandex,SPb (lr=2),2,https://brandvideo.ru/крутые-ролики,brandvideo.ru,service page,"5,0 (11)","+7 (921) 325-XX-XX",no,2026-09-08,
заказать рекламный ролик спб,Yandex,SPb (lr=2),3,https://kurban.studio,kurban.studio,homepage,"5,0 (4)",,no,2026-09-08,
заказать рекламный ролик спб,Yandex,SPb (lr=2),4,https://stepmanvideo.ru/for-business/ads/,stepmanvideo.ru,service page,,,no,2026-09-08,
видеопродакшн москва,Yandex,Moscow (lr=213),ad,https://promo.gofra.me,gofra.me,paid promo,"5,0 (28)","+7 (969) 124-XX-XX",no,2026-09-08,metro station shown
видеопродакшн москва,Yandex,Moscow (lr=213),ad,https://неймс.рф,неймс.рф,paid promo,,"+7 (993) 893-XX-XX",no,2026-09-08,м. Савёловская
видеопродакшн москва,Yandex,Moscow (lr=213),ad,https://multi-fox.ru,multi-fox.ru,paid promo,,"+7 (925) 088-XX-XX",no,2026-09-08,
видеопродакшн москва,Yandex,Moscow (lr=213),1,https://avito.ru/moskva/predlozheniya_uslug,avito.ru,marketplace,,,no,2026-09-08,581 listings
видеопродакшн москва,Yandex,Moscow (lr=213),2,https://mosvideo.org,mosvideo.org,homepage,"4,3 (23)","+7 (495) 432-XX-XX",no,2026-09-08,
видеопродакшн москва,Yandex,Moscow (lr=213),3,https://2sides.pro,2sides.pro,homepage,"5,0 (31)","+7 (495) 266-XX-XX",no,2026-09-08,
видеопродакшн москва,Yandex,Moscow (lr=213),4,https://avastudio.ru,avastudio.ru,homepage,"4,7 (16)","+7 (958) 100-XX-XX",no,2026-09-08,from 1 mln RUB
видеопродакшн москва,Yandex,Moscow (lr=213),5,https://raketadigital.com/services_new/videoprodakshen/,raketadigital.com,service page,,,no,2026-09-08,Philip Morris client claim
видеопродакшн москва,Yandex,Moscow (lr=213),6,https://videohunter.pro,videohunter.pro,service page,"5,0 (17)",,no,2026-09-08,
